Skills,Education,Interests,Desired_Income,Career_Path,Industry,Required_Experience,Location_Flexibility
Problem Solving,Bachelor's,Engineering,100000,Information Security Analyst,Creative Arts,2,Remote
Management,Associate's,Art,85000,Wind Turbine Technician,Healthcare,1,On-Site
Management,Master's,Engineering,165000,Video Game Designer,Social Services,2,On-Site
Engineering,High School,Business,85000,Auto Mechanic,Finance,2,Remote
Finance,Bachelor's,Education,95000,Information Security Analyst,Technology,9,Remote
Management,Bachelor's,Writing,105000,Food Taster,Social Services,4,Remote
Data Analysis,Bachelor's,Art,170000,Professional Cuddler,Education,9,Remote
Teamwork,Associate's,Business,85000,Ethical Hacker,Engineering,6,On-Site
Writing,PhD,Art,175000,Photographer,Engineering,7,Remote
Writing,Bachelor's,Tech,85000,Sustainable Designer,Technology,3,Remote
Public Speaking,Master's,Environment,185000,Environmental Scientist,Trades,4,On-Site
Teamwork,Master's,Health,85000,Ethical Hacker,Engineering,5,Remote
Teaching,Bachelor's,Finance,190000,Professional Cuddler,Trades,0,Remote
Teaching,Bachelor's,Health,185000,Software Developer,Finance,2,Remote
Finance,PhD,Education,55000,Photographer,Business,5,Remote
Public Speaking,Associate's,Writing,85000,Elevator Mechanic,Trades,1,On-Site
Writing,Master's,Finance,130000,Genetic Counselor,Technology,7,On-Site
Management,PhD,Health,30000,Astronomer,Education,6,Remote
Public Speaking,PhD,Art,130000,Animator,Healthcare,5,On-Site
Public Speaking,Associate's,Engineering,180000,Plumber,Environment,2,On-Site
Writing,Master's,Social Work,180000,Elevator Mechanic,Environment,9,On-Site
Critical Thinking,Bachelor's,Art,70000,Environmental Scientist,Social Services,6,On-Site
Problem Solving,Bachelor's,Art,145000,Music Producer,Education,3,Remote
Healthcare,Bachelor's,Business,150000,Information Security Analyst,Healthcare,0,On-Site
Healthcare,Bachelor's,Finance,80000,Music Producer,Social Services,3,Remote
Healthcare,PhD,Health,145000,Auto Mechanic,Technology,0,Remote
Healthcare,Master's,Art,50000,Marine Biologist,Social Services,5,On-Site
Finance,Master's,Art,185000,Information Security Analyst,Trades,9,On-Site
Problem Solving,High School,Writing,30000,Data Scientist,Finance,3,On-Site
Design,Associate's,Environment,75000,Fashion Designer,Finance,10,Remote
Management,Bachelor's,Tech,150000,Astronomer,Social Services,0,Remote
Healthcare,PhD,Tech,155000,Filmmaker,Trades,1,Remote
Problem Solving,Master's,Tech,100000,Food Taster,Education,0,Remote
Design,Bachelor's,Social Work,40000,Software Developer,Finance,2,On-Site
Teamwork,Associate's,Health,35000,Fashion Designer,Creative Arts,5,On-Site
Teaching,PhD,Education,35000,Information Security Analyst,Creative Arts,9,Remote
Marketing,PhD,Writing,75000,Photographer,Environment,2,Remote
Teamwork,Bachelor's,Environment,35000,Environmental Scientist,Engineering,9,Remote
Finance,Bachelor's,Social Work,60000,Plumber,Environment,10,On-Site
Design,Associate's,Health,50000,Music Producer,Social Services,1,On-Site
Data Analysis,PhD,Education,105000,Genetic Counselor,Finance,10,On-Site
Public Speaking,PhD,Art,195000,Nurse Practitioner,Business,0,Remote
Programming,PhD,Social Work,195000,Web Developer,Creative Arts,6,On-Site
Teamwork,PhD,Education,150000,Elevator Mechanic,Social Services,4,On-Site
Programming,Associate's,Engineering,160000,Food Taster,Trades,6,On-Site
Critical Thinking,Master's,Environment,100000,Marketing Manager,Creative Arts,9,Remote
Teaching,PhD,Art,190000,Elevator Mechanic,Technology,8,On-Site
Management,Bachelor's,Engineering,100000,Web Developer,Finance,10,On-Site
Marketing,High School,Environment,150000,Astronomer,Technology,4,On-Site
Management,Master's,Education,170000,Business Consultant,Technology,4,On-Site
Teaching,High School,Social Work,95000,Physical Therapist,Finance,4,Remote
Engineering,Bachelor's,Writing,150000,Elevator Mechanic,Technology,4,On-Site
Teaching,PhD,Writing,90000,Genetic Counselor,Technology,10,Remote
Teamwork,Master's,Tech,95000,Filmmaker,Finance,9,On-Site
Marketing,High School,Art,175000,Wind Turbine Technician,Creative Arts,5,Remote
Finance,PhD,Writing,115000,Elevator Mechanic,Finance,6,Remote
Writing,Master's,Writing,120000,DevOps Engineer,Education,0,On-Site
Marketing,PhD,Writing,120000,Physical Therapist,Technology,1,On-Site
Public Speaking,Bachelor's,Business,190000,Marketing Manager,Finance,5,On-Site
Healthcare,Bachelor's,Finance,50000,Marketing Manager,Technology,0,Remote
Teamwork,Master's,Health,75000,Environmental Scientist,Engineering,6,On-Site
Teamwork,High School,Education,150000,Video Game Designer,Technology,3,On-Site
Engineering,Master's,Business,115000,Entrepreneur,Engineering,3,Remote
Finance,PhD,Finance,155000,Astronomer,Finance,8,Remote
Teamwork,Bachelor's,Health,60000,Plumber,Social Services,5,Remote
Writing,High School,Writing,160000,Video Game Designer,Trades,4,Remote
Engineering,Associate's,Health,170000,Web Developer,Social Services,8,On-Site
Marketing,High School,Health,80000,Genetic Counselor,Education,4,Remote
Healthcare,Associate's,Engineering,150000,Wind Turbine Technician,Finance,10,Remote
Data Analysis,Associate's,Art,85000,Elevator Mechanic,Creative Arts,1,On-Site
Engineering,Bachelor's,Tech,40000,Software Developer,Social Services,10,On-Site
Management,Associate's,Education,115000,Animator,Technology,7,On-Site
Finance,Associate's,Education,80000,Entrepreneur,Creative Arts,6,Remote
Problem Solving,Associate's,Art,70000,Elevator Mechanic,Engineering,8,On-Site
Management,Master's,Education,125000,Software Developer,Environment,6,Remote
Teamwork,Master's,Business,130000,Nurse Practitioner,Social Services,8,On-Site
Public Speaking,Master's,Tech,80000,Professional Cuddler,Environment,7,On-Site
Finance,Master's,Social Work,45000,Video Game Designer,Social Services,0,On-Site
Teaching,Bachelor's,Engineering,150000,Information Security Analyst,Education,8,On-Site
Healthcare,PhD,Tech,175000,Software Developer,Creative Arts,2,Remote
Finance,Master's,Writing,185000,Software Developer,Trades,5,On-Site
Teamwork,PhD,Social Work,135000,Data Scientist,Trades,4,Remote
Problem Solving,High School,Environment,160000,Civil Engineer,Healthcare,6,Remote
Data Analysis,High School,Social Work,55000,Marketing Manager,Business,7,On-Site
Data Analysis,Bachelor's,Health,35000,Biomedical Engineer,Business,8,On-Site
Finance,PhD,Tech,195000,Genetic Counselor,Engineering,10,On-Site
Healthcare,Master's,Finance,75000,Music Producer,Technology,10,On-Site
Writing,PhD,Writing,90000,Web Developer,Education,3,On-Site
Critical Thinking,PhD,Writing,125000,Video Game Designer,Trades,0,On-Site
Public Speaking,Associate's,Health,155000,Wind Turbine Technician,Finance,4,Remote
Management,High School,Art,35000,Animator,Business,8,On-Site
Critical Thinking,High School,Education,60000,Video Game Designer,Trades,1,On-Site
Public Speaking,Bachelor's,Health,115000,Fashion Designer,Social Services,2,Remote
Writing,High School,Engineering,135000,Environmental Scientist,Social Services,7,On-Site
Public Speaking,Bachelor's,Environment,90000,Business Consultant,Finance,4,Remote
Public Speaking,Bachelor's,Writing,55000,Astronomer,Trades,10,Remote
Finance,Bachelor's,Education,35000,Animator,Healthcare,7,On-Site
Teamwork,Associate's,Environment,85000,Astronomer,Business,9,On-Site
Public Speaking,Bachelor's,Tech,80000,Physical Therapist,Technology,2,On-Site
Teaching,Associate's,Engineering,190000,Entrepreneur,Engineering,2,Remote
Healthcare,Associate's,Tech,185000,Astronomer,Finance,0,Remote
Critical Thinking,High School,Finance,45000,Astronomer,Technology,7,Remote
Finance,Bachelor's,Engineering,140000,Auto Mechanic,Healthcare,3,Remote
Data Analysis,Master's,Education,145000,Sustainable Designer,Business,1,Remote
Public Speaking,High School,Art,65000,Business Consultant,Environment,5,Remote
Critical Thinking,Bachelor's,Finance,115000,Marketing Manager,Healthcare,0,Remote
Management,Associate's,Education,95000,Photographer,Finance,2,Remote
Engineering,Bachelor's,Health,120000,Web Developer,Finance,9,Remote
Marketing,PhD,Engineering,110000,Filmmaker,Technology,2,On-Site
Programming,PhD,Engineering,120000,Ethical Hacker,Education,3,Remote
Public Speaking,Master's,Art,110000,Auto Mechanic,Technology,4,On-Site
Healthcare,PhD,Art,180000,Video Game Designer,Engineering,6,Remote
Teaching,Associate's,Tech,55000,Auto Mechanic,Social Services,8,On-Site
Marketing,High School,Writing,105000,Entrepreneur,Environment,5,On-Site
Problem Solving,Associate's,Tech,110000,Genetic Counselor,Technology,7,Remote
Teamwork,PhD,Social Work,65000,Nurse Practitioner,Technology,4,On-Site
Engineering,Master's,Health,165000,Elevator Mechanic,Social Services,6,On-Site
Marketing,Bachelor's,Environment,110000,Video Game Designer,Technology,4,Remote
Writing,PhD,Business,100000,DevOps Engineer,Engineering,6,On-Site
Public Speaking,Associate's,Finance,140000,Professional Cuddler,Technology,0,On-Site
Teaching,Master's,Tech,160000,Biomedical Engineer,Finance,6,On-Site
Finance,High School,Environment,80000,Nurse Practitioner,Technology,0,On-Site
Finance,Associate's,Art,90000,Data Scientist,Education,5,Remote
Engineering,PhD,Education,190000,Filmmaker,Engineering,7,Remote
Public Speaking,Associate's,Tech,160000,Physical Therapist,Business,8,On-Site
Critical Thinking,Master's,Health,75000,Marketing Manager,Finance,6,Remote
Marketing,Bachelor's,Environment,135000,Sustainable Designer,Environment,3,Remote
Finance,Master's,Engineering,145000,Wind Turbine Technician,Technology,7,On-Site
Design,High School,Education,150000,Auto Mechanic,Environment,6,Remote
Healthcare,Master's,Social Work,150000,Fashion Designer,Environment,10,Remote
Writing,Master's,Education,85000,Civil Engineer,Technology,7,On-Site
Engineering,Bachelor's,Health,70000,Sustainable Designer,Social Services,1,On-Site
Data Analysis,Bachelor's,Finance,45000,Marketing Manager,Social Services,2,Remote
Problem Solving,High School,Environment,160000,Auto Mechanic,Environment,10,On-Site
Finance,PhD,Engineering,65000,Business Consultant,Engineering,4,On-Site
Data Analysis,High School,Environment,105000,Data Scientist,Business,0,On-Site
Finance,High School,Social Work,80000,Food Taster,Environment,5,Remote
Critical Thinking,Associate's,Tech,180000,Entrepreneur,Technology,9,On-Site
Writing,High School,Environment,105000,Information Security Analyst,Business,2,On-Site
Design,Master's,Health,190000,DevOps Engineer,Business,1,On-Site
Marketing,High School,Education,175000,Professional Cuddler,Healthcare,7,On-Site
Engineering,Bachelor's,Social Work,170000,Marine Biologist,Education,10,On-Site
Writing,Master's,Education,135000,Video Game Designer,Education,10,On-Site
Writing,Bachelor's,Health,135000,Filmmaker,Trades,6,Remote
Engineering,Bachelor's,Environment,35000,Photographer,Healthcare,2,Remote
Programming,PhD,Writing,65000,Marketing Manager,Engineering,9,Remote
Management,Master's,Art,50000,Professional Cuddler,Engineering,9,Remote
Healthcare,Associate's,Engineering,65000,Fashion Designer,Education,0,Remote
Data Analysis,Bachelor's,Social Work,45000,Professional Cuddler,Healthcare,2,On-Site
Public Speaking,Associate's,Business,30000,Astronomer,Technology,1,On-Site
Management,PhD,Environment,115000,Astronomer,Finance,10,Remote
Marketing,Bachelor's,Tech,90000,Physical Therapist,Engineering,10,On-Site
Critical Thinking,Associate's,Environment,30000,Web Developer,Engineering,1,Remote
Data Analysis,Bachelor's,Tech,145000,Food Taster,Engineering,2,On-Site
Programming,Master's,Education,155000,Business Consultant,Healthcare,0,On-Site
Problem Solving,Master's,Social Work,95000,Environmental Scientist,Technology,8,Remote
Teaching,Bachelor's,Education,70000,Music Producer,Finance,6,Remote
Marketing,High School,Health,80000,Photographer,Healthcare,1,On-Site
Public Speaking,Associate's,Business,60000,Wind Turbine Technician,Environment,9,Remote
Data Analysis,High School,Health,120000,Fashion Designer,Trades,2,On-Site
Problem Solving,High School,Education,125000,Photographer,Business,0,Remote
Finance,Master's,Health,30000,Professional Cuddler,Healthcare,2,Remote
Teaching,High School,Engineering,195000,Photographer,Engineering,5,On-Site
Teaching,High School,Education,65000,Video Game Designer,Healthcare,0,On-Site
Engineering,PhD,Business,90000,Food Taster,Business,7,On-Site
Public Speaking,PhD,Social Work,145000,Sustainable Designer,Healthcare,1,Remote
Public Speaking,Bachelor's,Social Work,55000,Civil Engineer,Business,0,Remote
Teamwork,Associate's,Business,70000,Food Taster,Technology,4,Remote
Writing,Bachelor's,Writing,115000,Sustainable Designer,Trades,1,On-Site
Management,Bachelor's,Social Work,65000,Business Consultant,Environment,4,Remote
Healthcare,PhD,Art,105000,Elevator Mechanic,Environment,1,Remote
Finance,High School,Engineering,35000,Data Scientist,Creative Arts,10,Remote
Data Analysis,Master's,Health,90000,Food Taster,Creative Arts,6,On-Site
Data Analysis,Associate's,Health,50000,Web Developer,Engineering,8,On-Site
Critical Thinking,Associate's,Art,160000,Food Taster,Trades,10,On-Site
Management,Bachelor's,Social Work,35000,Photographer,Engineering,4,On-Site
Problem Solving,Bachelor's,Social Work,115000,Software Developer,Technology,3,On-Site
Critical Thinking,Bachelor's,Business,140000,Professional Cuddler,Healthcare,4,On-Site
Teaching,Master's,Engineering,145000,Ethical Hacker,Creative Arts,1,Remote
Writing,Bachelor's,Writing,30000,Business Consultant,Environment,8,Remote
Data Analysis,High School,Writing,125000,Wind Turbine Technician,Finance,7,Remote
Marketing,PhD,Health,65000,Data Scientist,Social Services,7,Remote
Design,PhD,Education,120000,Environmental Scientist,Environment,2,Remote
Problem Solving,Master's,Health,55000,Video Game Designer,Healthcare,9,Remote
Finance,High School,Social Work,145000,Physical Therapist,Technology,4,On-Site
Management,Associate's,Education,30000,Marine Biologist,Education,8,Remote
Data Analysis,High School,Health,95000,Genetic Counselor,Creative Arts,4,On-Site
Critical Thinking,Master's,Tech,190000,Professional Cuddler,Environment,2,On-Site
Design,High School,Finance,145000,Food Taster,Technology,5,Remote
Design,Bachelor's,Health,70000,Music Producer,Healthcare,1,On-Site
Management,Bachelor's,Writing,125000,Entrepreneur,Business,7,Remote
Data Analysis,Associate's,Tech,65000,Web Developer,Engineering,2,Remote
Teamwork,High School,Writing,140000,Fashion Designer,Business,3,On-Site
Healthcare,Bachelor's,Social Work,140000,Environmental Scientist,Environment,1,On-Site
Management,PhD,Art,110000,Wind Turbine Technician,Healthcare,1,Remote
Healthcare,Bachelor's,Tech,175000,Fashion Designer,Healthcare,8,Remote
Finance,High School,Business,185000,Biomedical Engineer,Education,3,On-Site
Public Speaking,Associate's,Writing,125000,Astronomer,Trades,3,On-Site
Healthcare,High School,Social Work,160000,Civil Engineer,Social Services,9,On-Site
Data Analysis,Associate's,Health,65000,Filmmaker,Business,0,On-Site
Management,Bachelor's,Health,125000,Marine Biologist,Technology,8,Remote
Writing,High School,Art,195000,Marine Biologist,Technology,4,Remote
Problem Solving,Associate's,Writing,50000,Professional Cuddler,Technology,9,On-Site
Finance,Associate's,Social Work,65000,Nurse Practitioner,Social Services,3,On-Site
Design,High School,Tech,170000,Genetic Counselor,Environment,10,Remote
Teamwork,Associate's,Tech,35000,Music Producer,Social Services,8,On-Site
Design,Master's,Business,160000,Astronomer,Engineering,6,On-Site
Teaching,High School,Art,190000,Food Taster,Creative Arts,5,On-Site
Engineering,Associate's,Environment,140000,Video Game Designer,Trades,2,Remote
Teaching,Bachelor's,Health,185000,DevOps Engineer,Environment,3,On-Site
Data Analysis,Associate's,Health,120000,Food Taster,Social Services,9,Remote
Finance,Associate's,Writing,175000,Marine Biologist,Social Services,1,On-Site
Marketing,High School,Finance,160000,Data Scientist,Environment,10,Remote
Design,PhD,Finance,160000,Elevator Mechanic,Engineering,6,On-Site
Data Analysis,High School,Environment,190000,Photographer,Trades,6,Remote
Engineering,Associate's,Engineering,170000,Biomedical Engineer,Trades,5,On-Site
Engineering,Master's,Social Work,195000,Data Scientist,Social Services,9,Remote
Critical Thinking,High School,Social Work,155000,Plumber,Creative Arts,3,Remote
Teaching,Bachelor's,Tech,140000,Filmmaker,Healthcare,10,Remote
Problem Solving,Master's,Health,110000,Wind Turbine Technician,Engineering,0,On-Site
Public Speaking,Associate's,Engineering,45000,Food Taster,Business,6,Remote
Finance,PhD,Social Work,70000,Data Scientist,Environment,3,On-Site
Healthcare,High School,Finance,165000,Marketing Manager,Creative Arts,7,Remote
Engineering,Associate's,Tech,155000,Astronomer,Environment,10,Remote
Healthcare,High School,Finance,55000,DevOps Engineer,Healthcare,5,On-Site
Programming,Bachelor's,Social Work,110000,Software Developer,Environment,4,Remote
Public Speaking,Bachelor's,Health,180000,Professional Cuddler,Social Services,2,On-Site
Design,Bachelor's,Environment,170000,Civil Engineer,Engineering,7,Remote
Programming,Bachelor's,Finance,145000,Environmental Scientist,Creative Arts,1,On-Site
Marketing,High School,Social Work,35000,Environmental Scientist,Social Services,0,On-Site
Design,Associate's,Writing,190000,Genetic Counselor,Technology,3,On-Site
Finance,Bachelor's,Art,190000,Ethical Hacker,Engineering,6,Remote
Writing,Associate's,Art,80000,Software Developer,Education,10,On-Site
Writing,Associate's,Art,120000,Animator,Technology,1,Remote
Management,PhD,Health,40000,DevOps Engineer,Finance,5,Remote
Marketing,Associate's,Health,65000,Plumber,Trades,2,Remote
Finance,PhD,Education,70000,Animator,Social Services,0,Remote
Teamwork,Bachelor's,Environment,35000,Information Security Analyst,Environment,9,On-Site
Healthcare,PhD,Tech,180000,Software Developer,Environment,4,Remote
Marketing,Master's,Business,110000,Elevator Mechanic,Healthcare,1,Remote
Teaching,PhD,Social Work,180000,Physical Therapist,Business,2,On-Site
Management,High School,Finance,135000,Auto Mechanic,Education,4,Remote
Finance,Associate's,Social Work,55000,Data Scientist,Social Services,2,Remote
Management,Master's,Environment,80000,Physical Therapist,Technology,1,On-Site
Teamwork,Master's,Finance,60000,Filmmaker,Business,4,Remote
Data Analysis,PhD,Writing,140000,Physical Therapist,Business,4,On-Site
Marketing,High School,Writing,85000,Elevator Mechanic,Engineering,3,On-Site
Problem Solving,PhD,Health,120000,Genetic Counselor,Creative Arts,2,Remote
Design,Associate's,Health,90000,Photographer,Healthcare,7,On-Site
Public Speaking,Bachelor's,Art,140000,Plumber,Finance,6,Remote
Management,Associate's,Health,55000,Music Producer,Social Services,6,On-Site
Design,Associate's,Business,175000,Biomedical Engineer,Healthcare,3,On-Site
Critical Thinking,Associate's,Health,190000,DevOps Engineer,Education,3,On-Site
Programming,PhD,Education,30000,Business Consultant,Trades,5,Remote
Writing,Associate's,Engineering,165000,Professional Cuddler,Technology,5,Remote
Healthcare,Associate's,Engineering,110000,Environmental Scientist,Business,6,Remote
Problem Solving,Master's,Finance,140000,Professional Cuddler,Technology,2,On-Site
Marketing,High School,Health,115000,Information Security Analyst,Engineering,8,On-Site
Management,Bachelor's,Art,175000,Video Game Designer,Technology,2,On-Site
Public Speaking,PhD,Writing,155000,Civil Engineer,Education,7,On-Site
Marketing,Associate's,Tech,105000,Elevator Mechanic,Healthcare,0,On-Site
Data Analysis,Associate's,Business,95000,Civil Engineer,Healthcare,6,Remote
Design,Master's,Writing,80000,Professional Cuddler,Engineering,0,Remote
Problem Solving,Bachelor's,Engineering,180000,Professional Cuddler,Business,9,On-Site
Engineering,Master's,Health,95000,Photographer,Education,6,Remote
Problem Solving,PhD,Finance,125000,DevOps Engineer,Technology,6,On-Site
Engineering,Bachelor's,Writing,40000,Animator,Trades,8,Remote
Public Speaking,Master's,Health,45000,Marketing Manager,Finance,7,On-Site
Teaching,Associate's,Health,165000,Nurse Practitioner,Environment,7,On-Site
Design,Master's,Health,30000,Civil Engineer,Engineering,7,Remote
Healthcare,High School,Engineering,30000,Biomedical Engineer,Finance,8,Remote
Teaching,High School,Engineering,60000,Elevator Mechanic,Technology,1,On-Site
Teamwork,High School,Art,85000,Fashion Designer,Education,7,Remote
Design,Associate's,Social Work,165000,Physical Therapist,Environment,5,On-Site
Design,PhD,Environment,35000,Entrepreneur,Finance,3,Remote
Public Speaking,PhD,Writing,140000,Entrepreneur,Business,0,On-Site
Marketing,Bachelor's,Education,45000,Auto Mechanic,Environment,5,Remote
Critical Thinking,Associate's,Finance,195000,Plumber,Creative Arts,3,Remote
Management,Master's,Social Work,70000,Software Developer,Education,0,On-Site
Teaching,PhD,Tech,75000,Ethical Hacker,Education,8,Remote
Teamwork,Associate's,Education,105000,Biomedical Engineer,Creative Arts,10,Remote
Public Speaking,Master's,Art,175000,Data Scientist,Engineering,0,Remote
Engineering,Bachelor's,Education,35000,DevOps Engineer,Engineering,0,On-Site
Public Speaking,PhD,Art,125000,Food Taster,Trades,7,Remote
Marketing,Associate's,Education,145000,Plumber,Environment,4,Remote
Healthcare,High School,Art,70000,DevOps Engineer,Engineering,6,Remote
Programming,High School,Education,115000,Physical Therapist,Social Services,0,On-Site
Programming,Associate's,Finance,120000,Sustainable Designer,Finance,0,Remote
Design,High School,Business,130000,Web Developer,Social Services,9,On-Site
Problem Solving,Associate's,Business,75000,Sustainable Designer,Healthcare,10,On-Site
Data Analysis,Associate's,Tech,170000,Business Consultant,Business,3,Remote
Writing,Master's,Writing,35000,Wind Turbine Technician,Environment,0,On-Site
Management,Bachelor's,Social Work,60000,Marketing Manager,Environment,7,On-Site
Teaching,High School,Art,115000,Music Producer,Business,6,Remote
Public Speaking,Master's,Finance,165000,Biomedical Engineer,Healthcare,3,Remote
Teamwork,Bachelor's,Social Work,55000,Information Security Analyst,Engineering,9,Remote
Teamwork,High School,Writing,95000,Physical Therapist,Technology,0,Remote
Public Speaking,Associate's,Social Work,70000,Marine Biologist,Engineering,10,Remote
Programming,Bachelor's,Social Work,125000,Nurse Practitioner,Finance,0,On-Site
Design,Master's,Social Work,90000,Business Consultant,Education,5,Remote
Teaching,Master's,Business,140000,Astronomer,Environment,7,Remote
Healthcare,Master's,Art,165000,Data Scientist,Finance,1,Remote
Management,PhD,Finance,70000,Food Taster,Social Services,1,Remote
Finance,PhD,Writing,160000,Genetic Counselor,Finance,4,Remote
Management,Associate's,Art,145000,Marine Biologist,Social Services,2,Remote
Design,High School,Finance,195000,Genetic Counselor,Technology,6,On-Site
Critical Thinking,PhD,Tech,40000,Photographer,Healthcare,4,Remote
Design,Bachelor's,Business,125000,Genetic Counselor,Social Services,9,Remote
Programming,Associate's,Health,55000,DevOps Engineer,Environment,0,Remote
Programming,PhD,Social Work,150000,Information Security Analyst,Education,9,Remote
Writing,Master's,Environment,55000,Auto Mechanic,Finance,6,On-Site
Teaching,Bachelor's,Social Work,165000,Auto Mechanic,Technology,10,On-Site
Teamwork,Bachelor's,Engineering,135000,Civil Engineer,Technology,2,Remote
Problem Solving,High School,Education,195000,Food Taster,Trades,10,On-Site
Teaching,Bachelor's,Tech,65000,Fashion Designer,Healthcare,0,Remote
Engineering,Bachelor's,Social Work,45000,Animator,Engineering,1,On-Site
Writing,High School,Engineering,40000,Fashion Designer,Business,9,Remote
Programming,Bachelor's,Writing,115000,Ethical Hacker,Creative Arts,3,Remote
Problem Solving,Associate's,Tech,85000,Ethical Hacker,Engineering,5,Remote
Management,Associate's,Finance,55000,Web Developer,Engineering,5,On-Site
Writing,Associate's,Art,135000,Web Developer,Education,9,On-Site
Design,Bachelor's,Finance,85000,Civil Engineer,Creative Arts,1,On-Site
Finance,High School,Social Work,120000,Entrepreneur,Business,4,On-Site
Management,High School,Health,190000,Ethical Hacker,Environment,1,Remote
Data Analysis,Associate's,Finance,35000,Professional Cuddler,Environment,7,On-Site
Engineering,PhD,Writing,125000,Professional Cuddler,Trades,4,On-Site
Management,Associate's,Finance,195000,DevOps Engineer,Trades,10,On-Site
Marketing,High School,Health,130000,Data Scientist,Education,10,On-Site
Management,High School,Environment,145000,Environmental Scientist,Social Services,10,Remote
Healthcare,PhD,Education,175000,Data Scientist,Finance,3,Remote
Finance,Bachelor's,Social Work,95000,Civil Engineer,Environment,3,On-Site
Marketing,High School,Writing,175000,DevOps Engineer,Trades,9,Remote
Critical Thinking,Bachelor's,Writing,185000,Web Developer,Trades,1,On-Site
Writing,Master's,Health,90000,Civil Engineer,Environment,7,On-Site
